SMILES,MW
CC1OC(n2cc(F)c(=O)[nH]c2=O)C(O)C1O,246.19400000000002
C[C@]12CCC3c4ccc(O)cc4CCC3C1CC[C@@H]2O,272.3879999999999
CN/C(=N/C1=CC(C)(C)Oc2ccc(C#N)cc21)NC#N,281.319
O=C1Nc2ccccc2C12OCCCO2,205.2129999999999
CCC(Cc1ccc2c(c1)OCO2)NC,207.27299999999997
Brc1cccc2[nH]c3c(c12)CCN=C3,249.11099999999996
CCc1cc2c(Sc3ccc(C)cc3)ncnc2s1,286.425
CCc1cc2c(SCc3ccccc3)ncnc2s1,286.425
COc1cccc2c3c([nH]c12)C=NCC3,200.24099999999996
COc1ccc2c3c([nH]c2c1)C=NCC3,200.24099999999999
COc1ccc2[nH]c3c(c2c1)CCNC3,202.25699999999998
O=C1Nc2ccc(Cl)cc2C12OCCS2,241.69899999999996
O=C1Nc2c(C(F)(F)F)cccc2C12OCCO2,259.183
CC(N)Cc1ccc(I)cc1,261.106
CN1CCN2CC(c3ccccc3)c3ccccc3C2C1,278.39900000000006
C/N=C(/NC#N)NC1c2cnccc2OC(C)(C)[C@H]1O,275.312
O=C1Nc2cc(Cl)ccc2C12OCCO2,225.63099999999994
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,246.194
CC1(C)Oc2ccc(C#N)cc2C(N2CCCC2=O)[C@@H]1O,286.33099999999996
CNCC1NCC(c2ccccc2)c2ccccc21,252.36100000000002
CN1CCN2c3ccccc3Cc3ccccc3C2C1,264.372
CN(C)CC1c2ccccc2C(c2ccccc2)CN1C,280.415
CC1(C)Oc2ccc(C#N)cc2C(/N=C(/N)NC#N)[C@@H]1O,285.307
O=C1N(CN2CCCCC2)c2ccccc2C12OCCO2,288.3470000000001
Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,242.23099999999997
CN(C)CCCN1c2ccccc2CCc2ccccc21,280.415
CN(C)CC1NCC(c2ccccc2)c2ccccc21,266.38800000000003
CCNCC1NCC(c2ccccc2)c2ccccc21,266.38800000000003
NC(=O)c1cc(-c2ccncc2)cnc1Cl,233.658
CN1C(=O)C2(OCCO2)c2ccccc21,205.21300000000002
O=C1N(CN2CCOCC2)c2ccccc2C12OCCO2,290.3190000000001
NC(=O)c1cc(-c2ccccc2)nnc1Cl,233.658
O=C1N(CN2CCCC2)c2ccccc2C12OCCO2,274.32000000000005
O=C1Nc2ccc(Cl)cc2C12OCCO2,225.63099999999994
O=C1N(Cc2ccccc2)c2ccccc2C12OCCO2,281.31100000000004
Cc1ccc2c(c1)C1(OCCO1)C(=O)N2,205.21299999999997
CCN1CCN2CC(c3ccccc3)c3ccccc3C2C1,292.4260000000001
CN1CCN2CC(c3ccc(N)cc3)c3ccccc3C2C1,293.41400000000004
CN1CCN2CC(c3ccc(O)cc3)c3ccccc3C2C1,294.3980000000001
Clc1ccc(C2CC3CCC2N3)cn1,208.69199999999998
c1ccc(C2CN3CCNCC3c3ccccc32)cc1,264.372
CCCN(CCC)[C@H]1CCc2c(O)cccc2C1,247.38199999999998
Cc1cc(O)nc2c3c(ccc12)OC(C)(C)C=C3,241.29
COc1ccc2cc3n(c2c1)CCNC3,202.25699999999998
COc1ccc2c(c1)cc1n2CCNC1,202.25699999999995
Oc1ccc(C(=C2CCCCC2)c2ccc(O)cc2)cc1,280.36699999999996
C/C(=C(/C)c1ccc(O)cc1)c1ccc(O)cc1,240.302
COC(=O)Nc1ccc(C2CC3CCC2N3)cn1,247.29799999999997
Clc1ncc(C2CC3CCC2N3)cn1,209.67999999999998
CCC1CCNc2cc3oc(=O)cc(C(F)(F)F)c3cc21,297.276
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,284.74600000000004
O=C(CCl)Nc1ccc(C2CC3CCC2N3)cn1,265.74399999999997
CC(=O)NC[C@H]1CN(c2ccc(C(C)=O)cc2)C(=O)O1,276.29200000000003
NC(=O)c1cc(-c2ccc(Cl)cc2)nnc1Cl,268.10299999999995
NC(=O)c1cc(-c2ccc(F)c(Cl)c2)nnc1Cl,286.09299999999996
COc1ccc(-c2cc(C(N)=O)c(Cl)nn2)cc1,263.68399999999997
CNC(=O)c1cc(-c2ccncc2)nnc1Cl,248.673
CN(C)C(=O)c1cc(-c2ccncc2)nnc1Cl,262.70000000000005
N#Cc1cc(-c2ccncc2)nnc1Cl,216.631
O=C1Nc2cccc(Cl)c2C12OCCO2,225.63099999999991
O=C1Nc2ccc([N+](=O)[O-])cc2C12OCCO2,236.18299999999994
CCOC(=O)c1cc(-c2ccncc2)nnc1Cl,263.684
c1ccc2c3c([nH]c2c1)C1=NCCN1CC3,211.26799999999992
NC(=O)c1cnnc(-c2ccncc2)c1,200.20100000000002
COc1nnc(-c2ccncc2)cc1C(N)=O,230.22699999999998
O=C1Nc2ccc(Br)cc2C12OCCO2,270.08199999999994
Clc1nc2ccccc2nc1N1CCNCC1,248.71699999999993
O=C1Nc2ccccc2C12OCC(CCl)O2,239.65799999999993
Fc1ccc2nc(N3CCNCC3)cnc2c1,232.262
COc1cccc2nc(N3CCNCC3)cnc12,244.29799999999994
COCCc1ccc(OCC(O)CNC(C)C)cc1,267.36899999999997
CCC1CCc2cc3c(C(F)(F)F)cc(=O)oc3cc2N1,297.27599999999995
CC1(C)CCc2cc3c(C(F)(F)F)cc(=O)oc3cc2N1,297.27599999999995
O=c1ccc2cc3ccoc3c(OCCO)c2o1,246.21799999999993
NS(=O)(=O)c1cccc2ccccc12,207.254
O=c1cc(C(F)(F)F)c2cc3c(cc2o1)NCCC3,269.22200000000004
NCCc1ccc(S(N)(=O)=O)cc1,200.26299999999998
N#Cc1ccc(-c2cc(C(N)=O)c(Cl)nn2)cc1,258.66799999999995
Cc1c(-c2ccc(Cl)cc2)nnc(Cl)c1C(N)=O,282.13000000000005
CSc1nnc(-c2ccncc2)cc1C(N)=O,246.29500000000002
C=CCc1ccccc1OCC(O)CNC(C)C,249.35399999999996
Cc1ccc2nc(N3CCNCC3)cnc2c1,228.299
N#Cc1ccc2nc(N3CCNCC3)cnc2c1,239.28199999999998
Fc1cccc2nc(N3CCNCC3)cnc12,232.26199999999997
Clc1cccc2nc(N3CCNCC3)cnc12,248.71699999999996
NC(=O)c1cc(-c2ccncc2)nnc1Cl,234.646
C[C@H](N)Cc1c2ccoc2c(C(F)(F)F)c2ccoc12.Cl,319.71
CCC(c1ccc(O)cc1)C(CCF)c1ccc(O)cc1,288.36199999999997
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,268.356
COC(=O)c1ncn2c1CN(C)C(=O)c1sccc1-2,277.305
CCOC(=O)c1ncn2c1CN(C)C(=O)c1ccccc1-2,285.303
COCc1c2ccoc2c(OC)c2oc(=O)ccc12,260.24499999999995
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,272.3879999999999
CC(=O)N1CCN(c2cnc3cc(Cl)ccc3n2)CC1,290.7540000000001
CN1CCN(c2cnc3cc(Cl)ccc3n2)CC1,262.744
CS(=O)(=O)c1ccc2nc(N3CCNCC3)cnc2c1,292.364
Nc1nccc(Nc2ccc(S(N)(=O)=O)cc2)n1,265.298
COc1c2occc2c(CO)c2ccc(=O)oc12,246.21799999999996
Nc1cc(Cl)c(S(N)(=O)=O)cc1S(N)(=O)=O,285.73400000000004
NS(=O)(=O)c1nc2ccc(O)cc2s1,230.27
Oc1ccc2nc(N3CCNCC3)cnc2c1,230.27100000000002
Cl.c1ccc(COc2noc3c2CNCC3)cc1,266.72799999999995
O=[N+]([O-])c1ccc2nc(N3CCNCC3)cnc2c1,259.26899999999995
CCCNc1ncnc2c1ncn2Cc1ccccc1F,285.326
CCNc1ncnc2c1ncn2Cc1ccccc1F,271.299
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,252.27300000000002
Brc1ccc2nc(N3CCNCC3)cnc2c1,293.16799999999995
O=C1Nc2ccccc2C12OCCS2,207.25399999999993
O=C1Nc2ccccc2C12SCCS2,223.32199999999995
CNC(=O)c1cc(Cl)nnc1Cl,206.03199999999998
Clc1ccc2nc(N3CCNCC3)cnc2c1,248.71699999999998
NS(=O)(=O)c1ccc(C(=O)O)cc1,201.20299999999997
NS(=O)(=O)c1ccc(CCO)cc1,201.24699999999996
CNc1ncnc2c1ncn2Cc1ccc(N)cc1,254.297
N#Cc1ccc(-c2cc(C(N)=O)c(Cl)nn2)cc1Cl,293.11299999999994
NC(=O)c1cc(-c2ccc([N+](=O)[O-])cc2)nnc1Cl,278.655
CNc1ncnc2c1ncn2Cc1ccccc1,239.282
COc1ccc2nc(N3CCNCC3)cnc2c1,244.29799999999997
CNc1ncnc2c1ncn2Cc1cccc(F)c1,257.272
Nc1ccc(S(N)(=O)=O)cc1I,298.105
CCN(CC)c1ncnc2c1ncn2Cc1ccccc1F,299.353
CNc1ncnc2c1ncn2Cc1ccc(F)cc1F,275.262
COc1cccc2c1C[C@@H](CO)NC(=O)[C@H](C(C)C)N2C,292.379
COc1cccc(CC(=O)O)c1-c1ccc(Cl)cc1,276.719
COc1ccc2ncc(N3CCNCC3)nc2c1,244.29799999999994
O=[N+]([O-])c1ccc2ncc(N3CCNCC3)nc2c1,259.26899999999995
Clc1cc2ncc(N3CCNCC3)nc2cc1Cl,283.162
CNc1ncnc2c1ncn2Cc1c(F)cccc1Cl,291.717
C[C@@H](N)Cc1c2ccoc2c(C(F)(F)F)c2ccoc12.Cl,319.71
C[C@H](N)Cc1c2ccoc2c(Br)c2ccoc12.Cl,330.609
C[C@@H](N)Cc1c2ccoc2c(Br)c2ccoc12.Cl,330.609
Nc1nc2ccccc2nc1N1CCNCC1,229.28699999999992
CCNC1C2CCC(C2)C1c1ccccc1,215.34000000000003
CC(C)[C@H]1C(=O)N[C@H](CO)Cc2ccccc2N1C,262.353
CCN(C)c1ncnc2c1ncn2Cc1ccccc1F,285.326
